timestamp,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S
1770789535.78001308,54824728,1,224,80,-528,5,13,-18,0,0,0,1,54824728
1770789535.78001308,54824728,2,224,80,-528,5,13,-18,0,0,0,1,54824728
1770789535.87997317,54924688,0,224,80,-528,5,13,-18,0,0,0,1,54924688
1770789535.87997317,54924688,1,224,80,-528,5,13,-18,0,0,0,1,54924688
1770789535.87997317,54924688,2,224,80,-528,5,13,-18,0,0,0,1,54924688
1770789535.97993302,55024648,0,224,80,-528,5,13,-18,0,0,0,1,55024648
1770789535.97993302,55024648,1,224,80,-528,5,13,-18,0,0,0,1,55024648
1770789535.97993302,55024648,2,224,80,-528,5,13,-18,0,0,0,1,55024648
1770789536.07989311,55124608,0,224,80,-528,5,13,-18,0,0,0,1,55124608
1770789536.07989311,55124608,1,224,80,-528,5,13,-18,0,0,0,1,55124608
1770789536.07989311,55124608,2,224,80,-528,5,13,-18,0,0,0,1,55124608
1770789536.17985296,55224568,0,224,80,-528,5,13,-18,0,0,0,1,55224568
1770789536.17985296,55224568,1,224,80,-528,5,13,-18,0,0,0,1,55224568
1770789536.17985296,55224568,2,224,80,-528,5,13,-18,0,0,0,1,55224568
1770789536.27981305,55324528,0,224,80,-528,5,13,-18,0,0,0,1,55324528
1770789536.27981305,55324528,1,224,80,-528,5,13,-18,0,0,0,1,55324528
1770789536.27981305,55324528,2,224,80,-528,5,13,-18,0,0,0,1,55324528
1770789536.37977314,55424488,0,224,80,-528,5,13,-18,0,0,0,1,55424488
1770789536.37977314,55424488,1,224,80,-528,5,13,-18,0,0,0,1,55424488
1770789536.37977314,55424488,2,224,80,-528,5,13,-18,0,0,0,1,55424488
1770789536.47973299,55524448,0,224,80,-528,5,13,-18,0,0,0,1,55524448
1770789536.47973299,55524448,1,224,80,-528,5,13,-18,0,0,0,1,55524448
